CID,DATE,CAR NAME,OWNERSHIP,OFFER,PRICE,TYPE,YEAR,MODE,HP,DISCOUNT,MILEAGE,FUEL,STATUS,DUPLICATE,IGNORE
15,11-03-2016 17:53,Opel_Astra_Caravan_1.6_Tuev+Insp.NEU_schwarz_8_fach_TOP,private,offer,5899,Combi,2007,manual,105,125000,3,petrol,No,11-03-2016 00:00,0
16,06-03-2016 11:37,Mercedes_Benz_Vito_116_CDI_Lang__Aut.,private,offer,31830,bus,2015,automatic,163,60000,2,diesel,No,06-03-2016 00:00,0
17,08-03-2016 18:51,BMW_COMPACT_M_SPORT_SCHECKHEFTGEPFLEGT,private,offer,2850,Small Car,2003,manual,116,150000,2,petrol,NA,08-03-2016 00:00,0
18,31-03-2016 13:55,Audi_A3_2.0_TDI_Ambition_NaviPlus/Xenon/DAB/APS,private,offer,23750,limousine,2014,manual,150,70000,8,diesel,No,31-03-2016 00:00,0
19,08-03-2016 11:38,Mercedes_Benz_C_350_CDI_DPF_7G_TRONIC_Elegance,private,offer,12700,limousine,2009,automatic,224,150000,7,diesel,No,08-03-2016 00:00,0
20,25-03-2016 14:47,Mercedes_Benz_C_220_T_CDI_DPF_Avantgarde,private,offer,13999,Combi,2008,manual,170,150000,12,diesel,No,25-03-2016 00:00,0
21,09-03-2016 00:25,Smart_smart_fortwo_coupe_softouch_pure_micro_hybri...,private,offer,5050,Small Car,2011,automatic,61,60000,4,petrol,No,08-03-2016 00:00,0
22,24-03-2016 17:57,BMW_320i_touring_Edition_Exclusive,private,offer,8200,Combi,2004,manual,170,80000,5,petrol,No,24-03-2016 00:00,0
23,17-03-2016 19:56,Biete_einen_lagunar_an,private,offer,1200,Combi,2003,manual,150,150000,6,diesel,Yes,17-03-2016 00:00,0
24,25-03-2016 15:49,Top_gepflegter_Mercedes_C_180__CGI____204_,private,offer,15200,limousine,2010,automatic,156,60000,6,petrol,No,25-03-2016 00:00,0
25,27-03-2016 23:51,Fiat_Grande_Punto_1.4_8V_Dynamic,private,offer,3350,Small Car,2008,manual,77,100000,12,petrol,No,27-03-2016 00:00,0
26,23-03-2016 05:04,VW_Passat_Variant_1_9_TDI_Highline,private,offer,3490,Combi,2003,automatic,114,150000,1,diesel,NA,23-03-2016 00:00,0
27,22-03-2016 18:49,VW_Passat_Kombi_3.2_4Motion_Highline,private,offer,9500,Combi,2006,automatic,250,150000,3,petrol,No,22-03-2016 00:00,0
28,07-03-2016 18:56,Toyota_Avensis_Combi_2.2_D_4D_Automatik_Executive,private,offer,15555,Combi,2011,automatic,150,90000,3,diesel,No,07-03-2016 00:00,0
29,07-03-2016 16:53,Passat_1_6_Bj_2001_T?v_bis_11:2017,private,offer,1222,Combi,2001,manual,0,150000,8,petrol,No,07-03-2016 00:00,0
30,20-03-2016 17:53,A3_1.6_TDI_/s_sitze/klima/Euro5/Navi,private,offer,8499,coupe,2011,manual,105,150000,4,diesel,No,20-03-2016 00:00,0
31,28-03-2016 22:43,Audi_A4_Avant_2.0_TFSI_quattro_S_line_Sportpaket_...,private,offer,18999,Combi,2008,manual,211,125000,11,petrol,No,28-03-2016 00:00,0
32,22-03-2016 06:37,Volkswagen_Polo_1.4_TDI_Blue_Motion_Technology_Cross_Polo,private,offer,13999,Small Car,2014,manual,90,40000,10,diesel,No,22-03-2016 00:00,0
33,12-03-2016 13:44,Audi_A4_Avant_2.0_multitronic___Vollleder___2._Hand,private,offer,7700,Combi,2006,automatic,131,150000,3,petrol,No,12-03-2016 00:00,0
34,14-03-2016 00:37,Volkswagen_Sharan_1.9_TDI,private,offer,6000,bus,2005,automatic,116,150000,7,diesel,No,13-03-2016 00:00,0
35,16-03-2016 12:37,Mazda_323_F_1.6_sportive,private,offer,2399,limousine,2003,manual,98,125000,3,petrol,No,16-03-2016 00:00,0
36,11-03-2016 15:50,Mercedes_Benz_A_Klasse_190_Avantgarde_TÜV_Neu_Vollausstattung,private,offer,2700,Small Car,2000,manual,125,150000,1,petrol,No,11-03-2016 00:00,0
37,18-03-2016 12:43,Mercedes_Benz_C_180_Kompressor_Avantgarde,private,offer,4200,limousine,2002,manual,143,150000,12,petrol,No,18-03-2016 00:00,0
38,31-03-2016 17:06,Mercedes_Benz_Vito_115_CDI_lang,private,offer,5999,bus,2006,manual,150,150000,6,diesel,No,31-03-2016 00:00,0
39,29-03-2016 13:53,320D__177_PS_LIFT_NAVI_KLIMA,private,offer,6000,limousine,2009,automatic,177,125000,8,diesel,No,29-03-2016 00:00,0
40,17-03-2016 22:46,E46_Compact_316i_individual_Automatik_steuerkette_NEU!_BBS_18zoll,private,offer,2300,NA,2016,automatic,115,150000,5,petrol,NA,15-03-2016 00:00,0
41,05-03-2016 21:54,FORD_B_MAX_1.0_ECO_BOOST_TREND_zu_Verkaufen,private,offer,11900,bus,2014,manual,101,20000,12,petrol,No,05-03-2016 00:00,0
42,09-03-2016 10:56,Porsche_Cayenne_S_Tiptronic_SCHECKHEFT_LÜCKENLOS_PORSCHE,private,offer,13900,suv,2005,automatic,340,150000,4,petrol,No,09-03-2016 00:00,0
43,21-03-2016 07:56,BMW_116i_mit_M_Paket,private,offer,7500,limousine,2006,manual,116,125000,12,petrol,No,21-03-2016 00:00,0
44,12-03-2016 08:36,BMW_330d_touring,private,offer,5800,Combi,2003,manual,204,150000,11,diesel,No,12-03-2016 00:00,0
45,10-03-2016 21:57,Renault_Clio_1.2_16V_TCE_Grandtour_Dynamique__scheckheft,private,offer,3999,Combi,2008,manual,101,100000,1,petrol,No,10-03-2016 00:00,0
46,01-04-2016 17:47,BMW_316i_compact_Comfort_Edition,private,offer,1599,limousine,2000,manual,105,150000,3,petrol,No,01-04-2016 00:00,0
47,30-03-2016 15:37,Mercedes_Benz_SL_320,private,offer,12500,cabrio,2003,automatic,218,125000,8,petrol,No,30-03-2016 00:00,0
48,07-03-2016 01:53,Ford_Focus_ST_2.0_EcoBoost__*Geschaeftsfuehrerfahrzeug*,private,offer,19200,limousine,2013,manual,250,40000,1,petrol,No,07-03-2016 00:00,0
49,10-03-2016 18:48,Volkswagen_Touran_1.4_TSI_DSG_Comfortline,private,offer,14550,bus,2011,automatic,140,60000,3,petrol,No,10-03-2016 00:00,0
50,16-03-2016 03:03,Nissan_Primera_1.8_Comfort._Leder._Sitzheizung._Xenon.,private,offer,2400,limousine,2002,manual,114,125000,9,petrol,No,16-03-2016 00:00,0
51,03-04-2016 14:38,BMW_530d_Touring_Diesel,private,offer,7199,Combi,2005,automatic,231,150000,12,diesel,No,03-04-2016 00:00,0
52,23-03-2016 09:47,Alfa_Romeo_2.0**EINZELSTÜCK**TÜV_04/17*147TKM*KLIM*VB,private,offer,1500,limousine,2000,manual,155,150000,8,petrol,No,23-03-2016 00:00,0
53,07-03-2016 00:52,MINI_One_Glasdach_Klimaauto_Scheckheftgepfl_wenig_km,private,offer,11800,Small Car,2011,manual,98,30000,3,petrol,No,06-03-2016 00:00,0
54,29-03-2016 04:03,Audi__Q3,private,offer,27300,suv,2014,manual,177,30000,1,diesel,No,29-03-2016 00:00,0
55,29-03-2016 20:58,Opel_Agila_1.0_12_V,private,offer,1250,Small Car,2000,manual,58,150000,10,petrol,No,29-03-2016 00:00,0
56,04-04-2016 15:37,Ford_Focus_Turnier_TDCi_Viva_X,private,offer,2700,Combi,2004,manual,101,150000,7,diesel,No,04-04-2016 00:00,0
57,04-04-2016 15:56,Peugeot_806_Van,private,offer,1499,bus,2000,manual,132,150000,1,petrol,Yes,04-04-2016 00:00,0
58,08-03-2016 10:45,Mercedes_Benz_C_200_Kompressor_Avantgarde,private,offer,2200,limousine,2000,manual,163,150000,7,petrol,No,08-03-2016 00:00,0
59,21-03-2016 15:25,Ford_Focus_Turnier_1.6_TDCi_DPF_Style,private,offer,3300,Combi,2007,manual,109,150000,8,diesel,No,21-03-2016 00:00,0
60,01-04-2016 19:57,Opel_Vectra_2.8_V6_Turbo_First_Edition,private,offer,3250,limousine,2006,manual,230,150000,10,petrol,No,01-04-2016 00:00,0
61,27-03-2016 18:56,BMW_318i_Touring_E46__TÜV_neu__Teilleder.....,private,offer,3299,Combi,2003,manual,143,150000,3,petrol,No,27-03-2016 00:00,0
62,29-03-2016 13:37,Hyundai_Tucson_2.0_GLS_2WD,private,offer,6350,suv,2007,manual,141,150000,9,petrol,No,29-03-2016 00:00,0
63,05-04-2016 06:56,Audi_A6_Avant_2.7_TDI_s_line_quattro_tiptronic,private,offer,7750,Combi,2006,automatic,180,150000,1,diesel,No,05-04-2016 00:00,0
64,30-03-2016 23:52,VW_Golf_VII_plus_1_Jahr_Neuwahlen_Garantie,private,offer,25000,limousine,2013,automatic,140,40000,0,NA,No,30-03-2016 00:00,0
65,09-03-2016 21:50,BMW_520i,private,offer,6950,limousine,2005,automatic,170,150000,5,lpg,No,09-03-2016 00:00,0
66,28-03-2016 17:38,Toyota_Avensis_Combi_2.2_D_4D_Automatik,private,offer,13500,Combi,2009,automatic,150,40000,6,diesel,No,28-03-2016 00:00,0
67,12-03-2016 16:38,Mercedes_Benz_C_220_CDI_DPF_Automatik_Avantgarde,private,offer,14599,limousine,2008,automatic,170,150000,5,diesel,No,12-03-2016 00:00,0
68,28-03-2016 18:52,BMW_330ci_Cabrio,private,offer,6666,cabrio,2002,automatic,231,150000,10,petrol,No,28-03-2016 00:00,0
69,25-03-2016 16:44,Peugeot_307_HDi_110_Tendance,private,offer,2500,limousine,2003,manual,107,150000,1,diesel,No,25-03-2016 00:00,0
70,11-03-2016 10:54,Ford_Focus_1.6,private,offer,3700,limousine,2003,manual,101,50000,3,petrol,No,11-03-2016 00:00,0
71,21-03-2016 13:56,BMW_116d_DPF_Advantage_Paket,private,offer,9400,limousine,2012,manual,116,80000,4,diesel,No,21-03-2016 00:00,0
72,14-03-2016 18:51,Toyota_Rav_4,private,offer,5750,suv,2005,manual,126,150000,12,petrol,No,14-03-2016 00:00,0
73,01-04-2016 17:48,Audi_A3_1.8_TFSI_Sportback_quattro_Ambition,private,offer,21500,Combi,2012,manual,160,50000,9,petrol,No,01-04-2016 00:00,0
74,08-03-2016 13:49,Fiesta_Titanium_1.25,private,offer,6800,Small Car,2009,manual,82,60000,12,petrol,No,08-03-2016 00:00,0
75,29-03-2016 18:50,Mercedes_Benz_C220_guter_Zustand!!,private,offer,6150,limousine,2006,manual,150,150000,12,diesel,No,29-03-2016 00:00,0
76,23-03-2016 12:38,Audi_A5_1.8_TFSI,private,offer,13999,coupe,2008,manual,170,150000,4,petrol,No,23-03-2016 00:00,0
77,15-03-2016 14:38,BMW_118_Diesel_Cabrio_M_Paket,private,offer,17950,cabrio,2011,manual,143,80000,1,diesel,No,15-03-2016 00:00,0
78,06-03-2016 11:52,Corsa_C_1.0_12V_Euro4_Klima_1.Hand_Servo,private,offer,1900,Small Car,2004,manual,60,150000,2,petrol,No,06-03-2016 00:00,0
79,22-03-2016 22:50,Alfa_Romeo_147_2.0_Twin_Spark,private,offer,1699,limousine,2003,manual,150,150000,5,petrol,No,22-03-2016 00:00,0
80,05-04-2016 14:06,Audi_A3_Sportpack_Ambitition_phantomschwarz,private,offer,10200,Combi,2007,manual,140,150000,6,diesel,No,05-04-2016 00:00,0
81,22-03-2016 17:50,Mercedes_Benz_C_350_Limousine_4Matic_7G_TRONIC_Avantgarde,private,offer,21490,limousine,2011,automatic,306,100000,6,petrol,No,22-03-2016 00:00,0
82,24-03-2016 22:56,Hyundai_Atos_1.1_Prime__TÜV_bis_12/2017,private,offer,1450,Small Car,2005,manual,58,150000,5,NA,NA,24-03-2016 00:00,0
83,05-03-2016 19:58,VW_Touran_1_9_Tdi_105_PS,private,offer,6990,bus,2006,manual,105,150000,5,diesel,No,05-03-2016 00:00,0
84,04-04-2016 22:45,Chrysler_PT_Cruiser_Cabrio,private,offer,3500,cabrio,2006,manual,134,150000,0,NA,NA,04-04-2016 00:00,0
85,08-03-2016 20:57,Mercedes_Benz_C_220_T_CDI_DPF_BlueEFFICIENCY_Avantgarde_Comand,private,offer,13900,Combi,2010,manual,170,150000,6,diesel,No,08-03-2016 00:00,0
86,10-03-2016 20:47,Volkswagen_Touareg_3.2_V6_Automatik,private,offer,5500,suv,2003,automatic,220,150000,4,petrol,Yes,10-03-2016 00:00,0
87,01-04-2016 21:50,Volkswagen_VW_T5_1.9_TDI_9_Sitze,private,offer,4000,bus,2003,NA,0,150000,12,diesel,Yes,01-04-2016 00:00,0
88,24-03-2016 19:51,Mercedes_Benz_G_400_CDI_Automatik,private,offer,37000,suv,2001,automatic,250,125000,2,diesel,No,24-03-2016 00:00,0
89,09-03-2016 13:54,Fiat_Grande_Punto_1.4_8V_Active,private,offer,3800,Small Car,2008,manual,77,125000,2,petrol,No,09-03-2016 00:00,0
90,04-04-2016 18:51,Mercedes_Benz_ML_270_CDI,private,offer,12500,suv,2005,manual,163,150000,9,diesel,No,04-04-2016 00:00,0
91,26-03-2016 16:54,330d_Aut_._Xenon_Standheizung_Leder,private,offer,9400,NA,2007,automatic,231,150000,0,NA,NA,26-03-2016 00:00,0
92,15-03-2016 18:38,Audi_A6_Avant_2.7_TDI_DPF_multitronic,private,offer,5200,Combi,2006,automatic,179,150000,11,diesel,No,15-03-2016 00:00,0
93,01-04-2016 16:39,Porsche_Boxster_S,private,offer,18500,cabrio,2006,manual,260,125000,2,petrol,No,01-04-2016 00:00,0
94,10-03-2016 22:38,Fiat_Grande_Punto_My_Life_1.2_8V___top_Zustand!,private,offer,7880,Small Car,2012,manual,69,30000,2,petrol,No,10-03-2016 00:00,0
95,16-03-2016 21:54,BMW_730d,private,offer,8999,limousine,2004,automatic,218,150000,4,diesel,No,16-03-2016 00:00,0
96,26-03-2016 00:48,Volkswagen_Multivan_DPF_Comfortline,private,offer,20000,bus,2009,manual,174,150000,3,diesel,No,25-03-2016 00:00,0
97,16-03-2016 14:57,320D_E92_Coupe_100%_unfallfreie,private,offer,6500,limousine,2008,automatic,177,150000,9,diesel,No,16-03-2016 00:00,0
98,27-03-2016 20:06,Golf_4_Diesel,private,offer,2900,limousine,2000,manual,101,150000,10,diesel,No,27-03-2016 00:00,0
99,12-03-2016 12:43,Toyota_Yaris_1_0_Cool____5tuerig,private,offer,7500,Small Car,2009,manual,69,40000,2,petrol,Yes,12-03-2016 00:00,0
100,20-03-2016 09:58,VW_POLO__1_4_L__TÜV_Neu__EURO__4__1.HAND,private,offer,2222,Combi,2001,manual,75,150000,10,petrol,No,20-03-2016 00:00,0
101,24-03-2016 14:36,Der_Wagen_ist_Tip_Top_TÜV_neu,private,offer,3200,Small Car,2010,manual,0,60000,12,petrol,No,24-03-2016 00:00,0
102,10-03-2016 21:55,VW_Polo_1.2_Trendline__Klimaanlage__Top_Zustand,private,offer,5200,Small Car,2008,manual,60,80000,10,petrol,No,10-03-2016 00:00,0
103,08-03-2016 08:54,Mitsubishi_Pajero_V80_Vollausstattung!!,private,offer,23500,suv,2011,automatic,200,90000,9,diesel,No,08-03-2016 00:00,0
104,18-03-2016 01:57,BMW_525dA_M_look,private,offer,4500,limousine,2002,automatic,163,150000,2,diesel,No,18-03-2016 00:00,0
105,23-03-2016 23:38,BMW_525d,private,offer,12500,limousine,2007,manual,177,100000,5,diesel,No,23-03-2016 00:00,0
106,05-04-2016 00:42,BMW_325i_Aut.,private,offer,9900,limousine,2005,automatic,218,125000,8,petrol,No,04-04-2016 00:00,0
107,30-03-2016 23:38,Audi_A6_Quattro_Avant,private,offer,3200,Combi,2000,manual,179,150000,11,diesel,No,30-03-2016 00:00,0
108,04-04-2016 22:40,Golf_5_Grau_Metallic,private,offer,8999,limousine,2009,manual,105,125000,9,petrol,No,04-04-2016 00:00,0
109,20-03-2016 20:45,Toyota_Aygo,private,offer,3950,Small Car,2009,manual,68,50000,6,petrol,Yes,20-03-2016 00:00,0
110,15-03-2016 11:51,Opel_Vivaro_2.0_CDTI_L1H1,private,offer,10499,bus,2010,manual,0,150000,1,diesel,NA,15-03-2016 00:00,0
111,25-03-2016 13:51,Mercedes_Benz_C_180_T_Kompressor_Classic,private,offer,4100,Combi,2003,manual,143,150000,10,petrol,No,25-03-2016 00:00,0
112,17-03-2016 18:30,Mercedes_Benz_SLK_200_Kompressor,private,offer,17000,cabrio,2004,manual,163,20000,9,petrol,No,17-03-2016 00:00,0
113,28-03-2016 20:39,Audi_A6_2.4,private,offer,3600,limousine,2001,NA,170,150000,9,petrol,No,28-03-2016 00:00,0
114,10-03-2016 14:57,Porsche_Cayman_S,private,offer,29500,coupe,2006,manual,295,60000,5,petrol,No,10-03-2016 00:00,0
115,14-03-2016 13:51,Opel_Vectra_1.9_CDTI_Caravan,private,offer,3600,Combi,2005,manual,150,150000,3,diesel,No,14-03-2016 00:00,0
116,08-03-2016 15:37,Volkswagen_Scirocco_2.0_TSI,private,offer,14000,coupe,2008,manual,200,90000,11,petrol,No,08-03-2016 00:00,0
117,15-03-2016 10:53,Mercedes_Benz_cla_180__Urban_Austattung,private,offer,23000,coupe,2013,manual,122,10000,11,petrol,No,15-03-2016 00:00,0
118,12-03-2016 15:54,Das_Fz_hat_ein_paar_Macken_deswegen_wird_das_du_guenstig_abgegeb,private,offer,1099,Combi,2004,manual,81,150000,6,diesel,NA,12-03-2016 00:00,0
119,24-03-2016 18:38,Volkswagen_Golf_Variant_1.6_TDI_DPF_BlueMotion,private,offer,10000,Combi,2010,manual,105,150000,11,NA,No,24-03-2016 00:00,0
120,04-04-2016 08:51,Volkswagen_Lupo_1.0,private,offer,1300,Small Car,2001,manual,50,150000,4,petrol,No,04-04-2016 00:00,0
121,10-03-2016 22:37,Smart_fortwo_top_zustand_vollautomatik_Navi,private,offer,3790,coupe,2007,automatic,71,80000,3,petrol,No,10-03-2016 00:00,0
122,20-03-2016 20:39,Ford_Focus_1.6_16V_Style,private,offer,4500,limousine,2007,manual,101,125000,6,petrol,No,20-03-2016 00:00,0
123,26-03-2016 07:37,Seat_Ibiza_2.Hand_Autogas__Standheizung,private,offer,8350,NA,2011,manual,86,70000,8,petrol,No,26-03-2016 00:00,0
124,30-03-2016 08:55,VW_Passat_Variant_ComfortLine_1.9_TDI**Zahnrimmen_neu*TÜV+AU_neu*,private,offer,4750,Combi,2006,manual,105,150000,7,diesel,NA,30-03-2016 00:00,0
125,27-03-2016 18:57,Ford_Focus_Turnier_1.8_DI_Futura,private,offer,1499,Combi,2004,manual,90,150000,1,diesel,No,27-03-2016 00:00,0
126,07-03-2016 16:57,Mercedes_Benz_C_200_T_CDI_Automatik__TÜV_bis_2017,private,offer,5400,Combi,2004,automatic,122,150000,6,diesel,No,07-03-2016 00:00,0
127,16-03-2016 18:37,MINI_Cooper_Cabrio_/_PDC_/_Alufelgen__Winter__inkl.,private,offer,14650,cabrio,2011,automatic,122,40000,5,petrol,No,16-03-2016 00:00,0
128,01-04-2016 21:37,Volkswagen_Touran_1.9_TDI_DPF_mit_Navi__Tempomat_...,private,offer,9300,bus,2006,manual,105,100000,12,diesel,No,01-04-2016 00:00,0
129,26-03-2016 20:51,BMW_316ti_compact_Edition_Lifestyle_TÜV_NEU,private,offer,3900,coupe,2004,manual,116,150000,3,petrol,No,26-03-2016 00:00,0
130,25-03-2016 21:54,Mazda_3_1.6_CD_DPF,private,offer,3690,limousine,2007,manual,109,150000,2,diesel,No,25-03-2016 00:00,0
131,20-03-2016 19:51,Audi_A4_Avant_2.0_TFSI_Ambiente__Leder__unfallfrei,private,offer,12990,Combi,2010,manual,179,125000,4,petrol,No,20-03-2016 00:00,0
132,28-03-2016 19:56,Volkswagen_Jetta_1.4_TSI_Comfortline,private,offer,5490,limousine,2006,manual,140,150000,11,petrol,No,28-03-2016 00:00,0
133,19-03-2016 10:58,Mercedes_Benz_C_220_T_CDI_DPF_Automatik_Avantgarde,private,offer,9400,Combi,2009,automatic,170,150000,1,diesel,No,19-03-2016 00:00,0
134,21-03-2016 09:37,Peugeot_307_110_Platinum__TÜV_NEU,private,offer,1999,limousine,2001,manual,109,150000,9,petrol,No,21-03-2016 00:00,0
135,30-03-2016 04:03,BMW_320d_DPF_touring__Euro_4_Klima_AHK,private,offer,2250,Combi,2004,manual,150,150000,12,diesel,No,30-03-2016 00:00,0
136,04-04-2016 14:37,POLO_6N2__1_4_16V__75PS_Klima__Servo_Funk_ZV_aus_1_Hand_,private,offer,1800,NA,2016,manual,75,150000,8,petrol,No,04-04-2016 00:00,0
137,22-03-2016 19:25,Mazda_Tribute_3.0___V_6__Exclusive__Automatik__LPG__Leder___AHK,private,offer,6999,suv,2004,automatic,203,125000,11,lpg,No,22-03-2016 00:00,0
138,31-03-2016 13:47,Renault_Kangoo_1.5_dCi_Expression,private,offer,1700,bus,2002,manual,82,150000,8,diesel,No,31-03-2016 00:00,0
139,10-03-2016 15:54,Audi_A8_4.2_quattro_Langversion,private,offer,7800,limousine,2005,automatic,334,150000,9,petrol,Yes,10-03-2016 00:00,0
140,14-03-2016 10:38,Nissan_Primera_Traveller_1.8_Aut.___56.677_Km.,private,offer,4500,Combi,2006,manual,116,60000,8,petrol,No,14-03-2016 00:00,0
141,06-04-2016 13:06,Opel_Tigra_Twin_Top_1.8_Edition,private,offer,7300,cabrio,2008,manual,125,20000,3,petrol,No,06-04-2016 00:00,0
142,05-03-2016 17:45,Volkswagen_Golf_1.4_Trendline_1.Hand_mit_Sitzheizung,private,offer,8690,limousine,2009,manual,80,50000,7,petrol,No,05-03-2016 00:00,0
143,30-03-2016 18:56,Volkswagen_Bora_Variant_1.9_TDI_Sport_Edition,private,offer,2599,Combi,2002,manual,131,150000,7,diesel,No,30-03-2016 00:00,0
144,28-03-2016 21:53,Renault_Grand_Espace_3.0_dCi_Dynamique,private,offer,3950,bus,2005,automatic,177,150000,9,diesel,No,28-03-2016 00:00,0
145,23-03-2016 13:50,Mercedes_W_203_Sportcoupe_mit_Vollausstattung,private,offer,4390,coupe,2001,automatic,170,150000,3,petrol,No,23-03-2016 00:00,0
146,17-03-2016 10:48,Ford_Fiesta_1_3_Toller_Zustand_viele_Rechnungen...Neuteile!,private,offer,2099,Small Car,2004,manual,60,150000,6,petrol,No,17-03-2016 00:00,0
147,23-03-2016 22:51,Volkswagen_Passat_Variant_1.6_TDI_DPF_BlueMotion,private,offer,7777,Combi,2010,manual,105,150000,6,diesel,No,23-03-2016 00:00,0
148,24-03-2016 15:51,Volkswagen_Golf_1.4_TSI_Highline,private,offer,8800,limousine,2010,manual,122,125000,2,petrol,No,24-03-2016 00:00,0
149,15-03-2016 16:48,Smart__Fortwo_Coupe_Klima__Leder__Automatik,private,offer,4399,Small Car,2011,automatic,61,40000,12,petrol,No,15-03-2016 00:00,0
150,18-03-2016 23:46,Suzuki_Liana_Kombi_1.4_Klimaanlage_Zentralverriegelung,private,offer,1900,Combi,2005,manual,90,150000,8,diesel,No,18-03-2016 00:00,0
151,09-03-2016 00:59,Ales_ok_raifen_bremze_oli_ales_noq,private,offer,3000,limousine,2001,manual,0,5000,1,diesel,NA,08-03-2016 00:00,0
152,20-03-2016 08:37,Peugeot_206_75_Platinum_95000_km_Automatik___4/5_Tueren_TÜV_03.17,private,offer,2000,limousine,2002,automatic,75,100000,3,petrol,NA,20-03-2016 00:00,0
153,17-03-2016 22:40,Toyota_Corolla_1.4_Sol_Neue_TÜV,private,offer,3550,limousine,2004,manual,97,150000,1,petrol,No,17-03-2016 00:00,0
154,30-03-2016 09:56,Volkswagen_Passat,private,offer,9900,limousine,2005,manual,0,125000,2,NA,No,30-03-2016 00:00,0
155,07-03-2016 21:54,BMW_520i,private,offer,1999,limousine,2001,manual,170,150000,12,petrol,No,07-03-2016 00:00,0
156,23-03-2016 12:48,KIA_CARNIVAL_EX_BUSINESS_2.9_CRDI,private,offer,1599,bus,2005,manual,144,150000,3,diesel,NA,23-03-2016 00:00,0
157,20-03-2016 14:52,Opel_Astra,private,offer,2199,cabrio,2003,manual,0,150000,11,petrol,No,20-03-2016 00:00,0
158,20-03-2016 15:44,Land_Rover_Defender,private,offer,20500,suv,2008,manual,122,125000,4,diesel,No,20-03-2016 00:00,0
159,01-04-2016 10:50,Smart_451_Cabrio_+_8_Fach_+_Alu_+_wenig_Kilometer__*TOP*,private,offer,8900,cabrio,2013,NA,0,20000,5,petrol,NA,01-04-2016 00:00,0
160,24-03-2016 20:25,Renault_Clio_1.2_Authentique,private,offer,1820,Small Car,2003,manual,58,90000,4,petrol,No,24-03-2016 00:00,0
161,10-03-2016 10:53,Mercedes_Benz_Bestattungswagen/Leichenwagen,private,offer,8400,Combi,2001,automatic,143,150000,8,NA,No,10-03-2016 00:00,0
162,03-04-2016 12:55,Panda_Schnaeppchen_Modell_2011_Wenig_Kilometer_Klima,private,offer,3999,Combi,2010,manual,60,70000,11,petrol,NA,03-04-2016 00:00,0
163,29-03-2016 12:56,"Volkswagen_Golf_GTD_BMT_DSG_19""_Navi_AHK_PanoDach_Assistenz",private,offer,31900,limousine,2015,automatic,184,10000,5,diesel,No,29-03-2016 00:00,0
164,06-03-2016 17:06,Bmw_525d_M_Paket,private,offer,7500,Combi,2004,automatic,177,150000,11,diesel,No,06-03-2016 00:00,0
165,30-03-2016 20:06,Opel_Corsa_1.2_Edition,private,offer,11600,Small Car,2015,manual,69,10000,5,petrol,No,30-03-2016 00:00,0
